dataset,model,selection_type,k,pr_auc_cv,pr_auc_test,pr_auc_diff,pr_auc_diff_percent,k_percent,pr_auc_test_percent
kaggle_credit_card_fraud,logreg,shap,14,0.7628942718760343,0.6941923050339504,0.06870196684208396,0.09896676518003755,46.666666666666664,99.81440399726877
kaggle_credit_card_fraud,logreg,mrmr,15,0.6476395884448357,0.5944351949123455,0.05320439353249018,0.08950411077247136,50.0,85.47083317536095
kaggle_credit_card_fraud,logreg,mutual_info,8,0.7490606873920254,0.6769487010958783,0.07211198629614701,0.1065250382775069,26.666666666666668,97.3350333137239
kaggle_credit_card_fraud,logreg,relieff,5,0.0206936882665017,0.0145556292896152,0.006138058976886501,0.42169657214791356,16.666666666666668,2.092880390365427
kaggle_credit_card_fraud,dt,mrmr,5,0.7888490114318311,0.5831749542991274,0.2056740571327037,0.35267985296091353,16.666666666666668,76.40385635652707
kaggle_credit_card_fraud,dt,mutual_info,6,0.8622819520977056,0.7155156368912723,0.14676631520643335,0.20511964748121297,20.0,93.74228700817777
kaggle_credit_card_fraud,dt,shap,2,0.8357473562324801,0.6973049180322158,0.13844243820026425,0.19853931131153751,6.666666666666667,91.35643497938372
kaggle_credit_card_fraud,dt,relieff,6,0.3628854173482517,0.1067287474150611,0.2561566699331906,2.4000719219257216,20.0,13.982918550424776
kaggle_credit_card_fraud,rf,mrmr,10,1.0,0.7408533349128508,0.25914666508714923,0.3497948283078642,33.333333333333336,92.57687818380305
kaggle_credit_card_fraud,rf,mutual_info,15,1.0,0.8037377044810847,0.19626229551891528,0.24418699586282025,50.0,100.43489588695407
kaggle_credit_card_fraud,rf,relieff,17,1.0,0.788018794273663,0.21198120572633705,0.269005266456526,56.666666666666664,98.4706641465033
kaggle_credit_card_fraud,rf,shap,7,1.0,0.7848176225809761,0.2151823774190239,0.2741813782307389,23.333333333333332,98.07064639957073
kaggle_credit_card_fraud,xgb,mrmr,15,1.0,0.7769337532409601,0.22306624675903985,0.2871110256550503,50.0,94.52650989456593
kaggle_credit_card_fraud,xgb,mutual_info,15,0.998999733020812,0.8076987283563375,0.19130100466447453,0.23684698012806213,50.0,98.26956483653326
kaggle_credit_card_fraud,xgb,shap,15,1.0,0.8086991282209319,0.19130087177906807,0.23655382465900937,50.0,98.39127959960622
kaggle_credit_card_fraud,xgb,relieff,21,1.0,0.8025891421594248,0.19741085784057522,0.2459675162181074,70.0,97.64790134439534
kaggle_credit_card_fraud,svc,shap,12,0.7615907878191625,0.703821290273189,0.05776949754597349,0.08207978125178651,40.0,98.42992344013443
kaggle_credit_card_fraud,svc,mrmr,14,0.666764359466737,0.636028480847724,0.030735878619012946,0.04832468913663575,46.666666666666664,88.9490493407589
kaggle_credit_card_fraud,svc,mutual_info,18,0.7578228784612082,0.6989624263178095,0.058860452143398745,0.0842111820709453,60.0,97.75040775377548
kaggle_credit_card_fraud,svc,relieff,9,0.0238413614935484,0.0176034374388486,0.006237924054699799,0.35435829373491995,30.0,2.461853631504259
kaggle_patient_survival,logreg,mrmr,21,0.4410016072346751,0.4579538986535951,-0.016952291418920018,-0.03701746282488371,19.444444444444443,91.38301593698921
kaggle_patient_survival,logreg,mutual_info,57,0.4778117730835582,0.4890457260781558,-0.011233952994597562,-0.022971170987807044,52.77777777777778,97.58727573126588
kaggle_patient_survival,logreg,relieff,29,0.1539196859750803,0.1482778112250345,0.005641874750045794,0.03804935278875527,26.85185185185185,29.588291804299576
kaggle_patient_survival,logreg,shap,57,0.4888968805234929,0.4997451054314726,-0.010848224907979709,-0.021707516071845286,52.77777777777778,99.72229752458315
