dataset,model,strategy,k,time
kaggle-patient-survival,dt,max_0.5,2,5764.920794725418
kaggle-patient-survival,rf,sum_0.5,15,187604.8795056343
kaggle-patient-survival,rf,sum_0.6,21,187604.8795056343
kaggle-patient-survival,rf,sum_0.7,28,187604.8795056343
kaggle-patient-survival,rf,sum_0.8,38,187604.8795056343
kaggle-patient-survival,rf,sum_0.9,52,187604.8795056343
kaggle-patient-survival,rf,sum_0.95,61,187604.8795056343
kaggle-patient-survival,rf,max_0.01,85,187604.8795056343
kaggle-patient-survival,rf,max_0.05,62,187604.8795056343
kaggle-patient-survival,rf,max_0.1,42,187604.8795056343
kaggle-patient-survival,rf,max_0.15,28,187604.8795056343
kaggle-patient-survival,rf,max_0.25,10,187604.8795056343
kaggle-patient-survival,rf,max_0.5,3,187604.8795056343
kaggle-patient-survival,xgb,sum_0.5,17,30743.148359775543
kaggle-patient-survival,xgb,sum_0.6,25,30743.148359775543
kaggle-patient-survival,xgb,sum_0.7,34,30743.148359775543
kaggle-patient-survival,xgb,sum_0.8,44,30743.148359775543
kaggle-patient-survival,xgb,sum_0.9,57,30743.148359775543
kaggle-patient-survival,xgb,sum_0.95,66,30743.148359775543
kaggle-patient-survival,xgb,max_0.01,91,30743.148359775543
kaggle-patient-survival,xgb,max_0.05,71,30743.148359775543
kaggle-patient-survival,xgb,max_0.1,64,30743.148359775543
kaggle-patient-survival,xgb,max_0.15,50,30743.148359775543
kaggle-patient-survival,xgb,max_0.25,21,30743.148359775543
kaggle-patient-survival,xgb,max_0.5,7,30743.148359775543
kaggle-patient-survival,svc,sum_0.5,15,3362.455757856369
kaggle-patient-survival,svc,sum_0.6,20,3362.455757856369
kaggle-patient-survival,svc,sum_0.7,28,3362.455757856369
kaggle-patient-survival,svc,sum_0.8,38,3362.455757856369
kaggle-patient-survival,svc,sum_0.9,54,3362.455757856369
kaggle-patient-survival,svc,sum_0.95,67,3362.455757856369
kaggle-patient-survival,svc,max_0.01,95,3362.455757856369
kaggle-patient-survival,svc,max_0.05,72,3362.455757856369
kaggle-patient-survival,svc,max_0.1,50,3362.455757856369
kaggle-patient-survival,svc,max_0.15,40,3362.455757856369
kaggle-patient-survival,svc,max_0.25,25,3362.455757856369
kaggle-patient-survival,svc,max_0.5,9,3362.455757856369
uci-android-permissions,logreg,sum_0.5,3,1000.0670943260193
uci-android-permissions,logreg,sum_0.6,6,1000.0670943260193
uci-android-permissions,logreg,sum_0.7,10,1000.0670943260193
uci-android-permissions,logreg,sum_0.8,18,1000.0670943260193
uci-android-permissions,logreg,sum_0.9,32,1000.0670943260193
uci-android-permissions,logreg,sum_0.95,45,1000.0670943260193
uci-android-permissions,logreg,max_0.01,46,1000.0670943260193
