dataset,model,strategy,k,time
uci-phishing-url,xgb,max_0.25,2,17241.87901210785
uci-phishing-url,xgb,max_0.5,1,17241.87901210785
uci-phishing-url,svc,sum_0.5,1,3998.725268125534
uci-phishing-url,svc,sum_0.6,3,3998.725268125534
uci-phishing-url,svc,sum_0.7,6,3998.725268125534
uci-phishing-url,svc,sum_0.8,9,3998.725268125534
uci-phishing-url,svc,sum_0.9,15,3998.725268125534
uci-phishing-url,svc,sum_0.95,21,3998.725268125534
uci-phishing-url,svc,max_0.01,25,3998.725268125534
uci-phishing-url,svc,max_0.05,12,3998.725268125534
uci-phishing-url,svc,max_0.1,3,3998.725268125534
uci-phishing-url,svc,max_0.15,2,3998.725268125534
uci-phishing-url,svc,max_0.25,1,3998.725268125534
uci-phishing-url,svc,max_0.5,1,3998.725268125534
uci-secondary-mushroom,logreg,sum_0.5,5,1200.41703748703
uci-secondary-mushroom,logreg,sum_0.6,7,1200.41703748703
uci-secondary-mushroom,logreg,sum_0.7,10,1200.41703748703
uci-secondary-mushroom,logreg,sum_0.8,13,1200.41703748703
uci-secondary-mushroom,logreg,sum_0.9,19,1200.41703748703
uci-secondary-mushroom,logreg,sum_0.95,24,1200.41703748703
uci-secondary-mushroom,logreg,max_0.01,36,1200.41703748703
uci-secondary-mushroom,logreg,max_0.05,24,1200.41703748703
uci-secondary-mushroom,logreg,max_0.1,17,1200.41703748703
uci-secondary-mushroom,logreg,max_0.15,14,1200.41703748703
uci-secondary-mushroom,logreg,max_0.25,6,1200.41703748703
uci-secondary-mushroom,logreg,max_0.5,3,1200.41703748703
uci-secondary-mushroom,dt,sum_0.5,4,1305.1760289669037
uci-secondary-mushroom,dt,sum_0.6,6,1305.1760289669037
uci-secondary-mushroom,dt,sum_0.7,8,1305.1760289669037
uci-secondary-mushroom,dt,sum_0.8,10,1305.1760289669037
uci-secondary-mushroom,dt,sum_0.9,14,1305.1760289669037
uci-secondary-mushroom,dt,sum_0.95,18,1305.1760289669037
uci-secondary-mushroom,dt,max_0.01,28,1305.1760289669037
uci-secondary-mushroom,dt,max_0.05,21,1305.1760289669037
uci-secondary-mushroom,dt,max_0.1,15,1305.1760289669037
uci-secondary-mushroom,dt,max_0.15,12,1305.1760289669037
uci-secondary-mushroom,dt,max_0.25,11,1305.1760289669037
uci-secondary-mushroom,dt,max_0.5,5,1305.1760289669037
uci-secondary-mushroom,rf,sum_0.5,5,24108.151703834534
uci-secondary-mushroom,rf,sum_0.6,8,24108.151703834534
uci-secondary-mushroom,rf,sum_0.7,11,24108.151703834534
uci-secondary-mushroom,rf,sum_0.8,15,24108.151703834534
uci-secondary-mushroom,rf,sum_0.9,21,24108.151703834534
uci-secondary-mushroom,rf,sum_0.95,27,24108.151703834534
uci-secondary-mushroom,rf,max_0.01,43,24108.151703834534
uci-secondary-mushroom,rf,max_0.05,25,24108.151703834534
uci-secondary-mushroom,rf,max_0.1,17,24108.151703834534
uci-secondary-mushroom,rf,max_0.15,14,24108.151703834534
uci-secondary-mushroom,rf,max_0.25,8,24108.151703834534
uci-secondary-mushroom,rf,max_0.5,2,24108.151703834534
uci-secondary-mushroom,xgb,sum_0.5,5,9032.259966373444
uci-secondary-mushroom,xgb,sum_0.6,7,9032.259966373444
uci-secondary-mushroom,xgb,sum_0.7,10,9032.259966373444
uci-secondary-mushroom,xgb,sum_0.8,13,9032.259966373444
uci-secondary-mushroom,xgb,sum_0.9,18,9032.259966373444
uci-secondary-mushroom,xgb,sum_0.95,24,9032.259966373444
uci-secondary-mushroom,xgb,max_0.01,37,9032.259966373444
uci-secondary-mushroom,xgb,max_0.05,24,9032.259966373444
uci-secondary-mushroom,xgb,max_0.1,17,9032.259966373444
uci-secondary-mushroom,xgb,max_0.15,14,9032.259966373444
uci-secondary-mushroom,xgb,max_0.25,9,9032.259966373444
uci-secondary-mushroom,xgb,max_0.5,2,9032.259966373444
uci-secondary-mushroom,svc,sum_0.5,7,958.0786800384521
uci-secondary-mushroom,svc,sum_0.6,9,958.0786800384521
uci-secondary-mushroom,svc,sum_0.7,12,958.0786800384521
uci-secondary-mushroom,svc,sum_0.8,16,958.0786800384521
uci-secondary-mushroom,svc,sum_0.9,23,958.0786800384521
uci-secondary-mushroom,svc,sum_0.95,29,958.0786800384521
uci-secondary-mushroom,svc,max_0.01,43,958.0786800384521
uci-secondary-mushroom,svc,max_0.05,34,958.0786800384521
uci-secondary-mushroom,svc,max_0.1,26,958.0786800384521
uci-secondary-mushroom,svc,max_0.15,18,958.0786800384521
uci-secondary-mushroom,svc,max_0.25,15,958.0786800384521
uci-secondary-mushroom,svc,max_0.5,6,958.0786800384521
uci-spect-heart,logreg,sum_0.5,5,0.9302587509155273
uci-spect-heart,logreg,sum_0.6,7,0.9302587509155273
uci-spect-heart,logreg,sum_0.7,8,0.9302587509155273
uci-spect-heart,logreg,sum_0.8,11,0.9302587509155273
uci-spect-heart,logreg,sum_0.9,13,0.9302587509155273
uci-spect-heart,logreg,sum_0.95,15,0.9302587509155273
uci-spect-heart,logreg,max_0.01,22,0.9302587509155273
uci-spect-heart,logreg,max_0.05,19,0.9302587509155273
uci-spect-heart,logreg,max_0.1,19,0.9302587509155273
uci-spect-heart,logreg,max_0.15,16,0.9302587509155273
uci-spect-heart,logreg,max_0.25,15,0.9302587509155273
uci-spect-heart,logreg,max_0.5,8,0.9302587509155273
uci-spect-heart,dt,sum_0.5,4,4.625603675842285
uci-spect-heart,dt,sum_0.6,6,4.625603675842285
uci-spect-heart,dt,sum_0.7,7,4.625603675842285
uci-spect-heart,dt,sum_0.8,9,4.625603675842285
uci-spect-heart,dt,sum_0.9,11,4.625603675842285
uci-spect-heart,dt,sum_0.95,13,4.625603675842285
uci-spect-heart,dt,max_0.01,17,4.625603675842285
uci-spect-heart,dt,max_0.05,16,4.625603675842285
uci-spect-heart,dt,max_0.1,14,4.625603675842285
uci-spect-heart,dt,max_0.15,14,4.625603675842285
uci-spect-heart,dt,max_0.25,12,4.625603675842285
uci-spect-heart,dt,max_0.5,5,4.625603675842285
uci-spect-heart,rf,sum_0.5,4,22.06555724143982
uci-spect-heart,rf,sum_0.6,6,22.06555724143982
uci-spect-heart,rf,sum_0.7,8,22.06555724143982
uci-spect-heart,rf,sum_0.8,10,22.06555724143982
uci-spect-heart,rf,sum_0.9,14,22.06555724143982
uci-spect-heart,rf,sum_0.95,16,22.06555724143982
uci-spect-heart,rf,max_0.01,22,22.06555724143982
uci-spect-heart,rf,max_0.05,19,22.06555724143982
uci-spect-heart,rf,max_0.1,18,22.06555724143982
uci-spect-heart,rf,max_0.15,13,22.06555724143982
uci-spect-heart,rf,max_0.25,10,22.06555724143982
uci-spect-heart,rf,max_0.5,3,22.06555724143982
uci-spect-heart,xgb,sum_0.5,4,9.414095878601074
uci-spect-heart,xgb,sum_0.6,5,9.414095878601074
uci-spect-heart,xgb,sum_0.7,7,9.414095878601074
uci-spect-heart,xgb,sum_0.8,9,9.414095878601074
uci-spect-heart,xgb,sum_0.9,12,9.414095878601074
uci-spect-heart,xgb,sum_0.95,14,9.414095878601074
uci-spect-heart,xgb,max_0.01,19,9.414095878601074
uci-spect-heart,xgb,max_0.05,18,9.414095878601074
uci-spect-heart,xgb,max_0.1,16,9.414095878601074
uci-spect-heart,xgb,max_0.15,14,9.414095878601074
uci-spect-heart,xgb,max_0.25,9,9.414095878601074
uci-spect-heart,xgb,max_0.5,6,9.414095878601074
uci-spect-heart,svc,sum_0.5,5,9.934084415435791
uci-spect-heart,svc,sum_0.6,6,9.934084415435791
uci-spect-heart,svc,sum_0.7,8,9.934084415435791
uci-spect-heart,svc,sum_0.8,10,9.934084415435791
uci-spect-heart,svc,sum_0.9,14,9.934084415435791
uci-spect-heart,svc,sum_0.95,17,9.934084415435791
uci-spect-heart,svc,max_0.01,22,9.934084415435791
uci-spect-heart,svc,max_0.05,22,9.934084415435791
uci-spect-heart,svc,max_0.1,19,9.934084415435791
uci-spect-heart,svc,max_0.15,16,9.934084415435791
uci-spect-heart,svc,max_0.25,11,9.934084415435791
uci-spect-heart,svc,max_0.5,7,9.934084415435791
