dataset,model,selection_type,k,pr_auc,roc_auc,recall,precision,f1,time
kaggle_credit_card_fraud,logreg,max_0.25,7,0.7482161399573728,0.9772221109863668,0.5953684210526317,0.8663510699826489,0.7045054912690217,2888.662332057953
kaggle_credit_card_fraud,logreg,mrmr_12,12,0.6108201285431992,0.8325447488110462,0.3837543859649123,0.808453457679464,0.5200920775667275,1336.665467262268
kaggle_credit_card_fraud,logreg,mrmr_10,10,0.6124090143373931,0.8326499117213391,0.38108771929824564,0.8074024066284128,0.5174537249283748,1336.665467262268
kaggle_credit_card_fraud,logreg,max_0.05,21,0.7656704031173044,0.9810657085507,0.6242456140350876,0.8764288819605749,0.7279476163154284,2888.662332057953
kaggle_credit_card_fraud,logreg,max_0.01,28,0.7671186983985858,0.9812274979549942,0.6295438596491227,0.8840003105320035,0.7341594861660079,2888.662332057953
kaggle_credit_card_fraud,logreg,max_0.5,3,0.7262934762751758,0.9738832323455906,0.5872982456140351,0.7733907842840231,0.6673187270132775,2888.662332057953
kaggle_credit_card_fraud,logreg,full,30,0.7669954305647093,0.9812583629195167,0.6295438596491227,0.8840003105320035,0.7341594861660079,0.0
kaggle_credit_card_fraud,logreg,mrmr_21,21,0.7383215854371612,0.9807339082121928,0.5792982456140351,0.8774551552562148,0.6962229903105286,1336.665467262268
kaggle_credit_card_fraud,logreg,max_0.15,12,0.7541515981891349,0.9790152305950439,0.597859649122807,0.8511888717751251,0.7012713113104481,2888.662332057953
kaggle_credit_card_fraud,logreg,mrmr_3,3,0.6119298535814215,0.8148572407087841,0.3757543859649123,0.8056495842873552,0.5121318726340455,1336.665467262268
kaggle_credit_card_fraud,logreg,max_0.1,14,0.7628942718760343,0.9811289339709262,0.6110877192982456,0.8727443525200961,0.7173819031744008,2888.662332057953
kaggle_credit_card_fraud,logreg,mrmr_4,4,0.6112843519823138,0.8148180988934042,0.37838596491228066,0.8065942536530771,0.5146642906355711,1336.665467262268
kaggle_credit_card_fraud,logreg,mrmr_28,28,0.7661136219501146,0.9809819325825503,0.6295438596491227,0.8740421304156449,0.7307858605056626,1336.665467262268
kaggle_credit_card_fraud,logreg,mrmr_7,7,0.6219235915536752,0.8240431808983528,0.3890175438596491,0.810295562942622,0.525113251190442,1336.665467262268
kaggle_credit_card_fraud,logreg,mrmr_19,19,0.730205911984415,0.9807816398395552,0.5766666666666667,0.8631925165622935,0.6899875492240302,1336.665467262268
